AA.V	Astral Mining Corporation
AA.WT.V	Astral Mining Corporation Wts
AAC.V	Actus Minerals Corp.
AAG.V	Andean American Gold Corp
AAL.V	Auracle Resources Ltd
AAN.V	Alexander Nubia International Inc.
AAO.V	Augusta Industries Inc
AAR.UN.V	Pure Industrial Real Estate Trust
AAT.V	Ati Airtest Technologies Inc
AAU.V	Andeangold Ltd.
AAX.V	Advance Gold Corp
AAZ.V	AFRICAN AURA RESOURCES LIMITED
AB.H.V	Asbestos Corporation Limited
ABA.V	Abbastar Uranium Corp
ABB.V	Abitibi Mining Corp.
ABE.V	Abitex Resources Inc.
ABG.V	Amg Bioenergy Resources Holdings Ltd
ABI.V	Abcourt Mines Inc.
ABL.V	Abington Resources Ltd.
ABM.V	Athabasca Minerals Inc.
ABN.V	Aben Resources Ltd.
ABR.V	Ashburton Ventures Inc.
ABS.V	Abzu Gold Ltd.
ABV.V	Algae Biosciences Corporation
ABZ.V	Asiabasemetals Inc
ACA.P.V	Anergy Capital Inc
ACG.V	Anglo Canadian Oil Corp
ACK.V	Active Growth Capital Inc
ACL.V	Anthony Clark Intl. Ins Brokers Ltd.
ACN.V	Asher Resources Corporation
ACP.V	Ansell Capital Corp.
ACT.V	Active Control Technology Inc
ACU.V	Act Aurora Control Technologies Corp
ADD.V	Arctic Star Exploration Corp
ADE.V	Adex Mining Inc.
ADG.V	Arcus Development Group Inc
ADI.V	Adriana Resources Inc.
ADK.V	Diagnos Inc.
ADL.V	Adira Energy Ltd
ADM.V	Andina Minerals Inc.
ADT.V	Adroit Resources Inc.
AE.A.V	Anterra Energy Inc. Cl A
AEE.V	Anatolia Energy Corp
AEL.V	Amseco Exploration Ltd.
AEX.V	Appleton Exploration Inc
AFA.V	Afri-Can Marine Minerals Corporation
AFF.V	Afferro Mining Inc
AFH.V	Atlas Financial Holdings Inc.
AFM.V	Alphamin Resources Corp.
AFR.V	African Metals Corporation
AFS.H.V	Afrasia Mineral Fields Inc.
AGA.V	Argonaut Exploration Inc
AGC.V	Amarillo Gold Corp.
AGD.V	Antioquia Gold Inc
AGE.V	Adventure Gold Inc.
AGG.V	African Gold Group Inc.
AGH.V	Canadian Silver Hunter Inc
AGL.V	Aguila American Gold Ltd.
AGM.V	Aldridge Minerals Inc.
AGO.V	Aurcrest Gold Inc
AGP.V	August Metal Corporation
AGQ.V	Arian Silver Corp.
AGR.V	Agritec Systems Inc.
AGX.V	Amador Gold Corp.
AHC.V	Artha Resources Corporation
AHP.V	Allied Hotel Properties Inc
AHR.V	Amarc Resources Ltd.
AHS.V	Alta Natural Herbs And Supplements Ltd.
AHU.V	Arctic Hunter Uranium Inc
AIA.V	Auriga Gold Corp
AIC.V	Acadia Resources Corp
AII.V	Almonty Industries Inc
AIQ.H.V	Atlantis Systems Corp
AIR.V	Cleanfield Alternative Energy Inc
AIS.V	A. I. S. Resources Limited
AIX.V	Alix Resources Corp.
AJC.V	American Consolidated Minerals Corp.
AKA.V	Aka Ventures Inc.
AKH.V	Alaska Hydro Corporation
AKM.V	Act360 Solutions Ltd.
AKV.V	Acrex Ventures Ltd
AL.V	Alita Resources Ltd
ALH.V	Alhambra Resources Ltd
ALM.V	Alliance Mining Corp
ALN.V	Aldrin Resource Corp.
ALO.V	Alston Ventures Inc
ALQ.V	Alpha Gold Corporation
ALR.V	Alder Resources Ltd.
ALT.V	Alturas Minerals Corp
ALU.V	Anglo Aluminum Corp.
ALW.V	All In West!Capital Corporation
ALZ.V	Aldershot Resources Ltd.
AMA.V	Aeromechanical Services Ltd
AME.V	Abacus Mining & Exploration Corporation
AMG.V	Am Gold Inc.
AMH.V	Amanta Res Ltd.
AMI.P.V	Andor Mining Inc
AMK.V	American Creek Resources Ltd.
AML.V	Argus Metals Corp.
AMO.V	Altan Rio Minerals Limited
AMT.V	Amato Exploration Ltd
AMU.V	Ami Resources Inc
AMX.V	AMEX Exploration Inc
AMY.V	American Manganese Inc.
ANA.V	Angus Mining Namibia Inc
ANB.V	Anglo-Bomarc Mines Ltd. [N.P.L.
ANC.V	Angoss Software Corp.
ANE.V	Altan Nevada Minerals Limited
ANF.V	Anfield Nickel Corp.
ANI.V	Animas Resources Ltd.
ANK.V	Angkor Gold Corp
ANQ.V	Allegiance Equity Corp.
ANR.U.V	American Natural Energy Corp.
AOE.V	Access International Education Ltd.
AOI.V	Africa Oil Corp.
AOS.V	Alberta Oilsands Inc.
AOT.V	Ascot Resources Ltd.
AOX.V	Andover Ventures Inc.
APA.V	Apella Resources Inc.
APC.V	Advanced Proteome Therapeutics Corp.
APD.V	Advanced Primary Minerals Corp
APE.V	Apogee Silver Ltd
APH.V	Alda Pharmaceuticals Corp
API.V	Apic Petroleum Corporation
APM.V	Amerix Precious Metals Corp
APN.V	Altiplano Minerals Ltd
APO.V	Acasti Pharma Inc
APP.V	Appalaches Resources Inc
APT.V	Almo Capital Corp.
APX.V	Asia Packaging Group Inc
APZ.V	Aptilon Corporation
AQ.V	African Queen Mines Ltd.
AQC.V	Aquarius Coatings Inc
AQE.V	Aqua-Pure Ventures Inc.
AQM.V	Aqm Copper Inc.
ARA.V	Anconia Resources Corp
ARD.V	Armada Data Corp.
ARH.V	Altima Resources Ltd.
ARI.V	Acme Resources Inc.
ARK.V	Archer Petroleum Corp
ARN.V	Arcan Resources Ltd.
ARN.DB.V	Arcan Resources Ltd 6.25 Pct Debs
