AAA.TO	Allana Potash Corp
AAB.TO	Aberdeen International Inc.
AAB.WT.TO	Aberdeen International Inc. Wts
AAH.TO	Aastra Technologis
AAV.TO	Advantage Oil & Gas Ltd.
AAV.DB.H.TO	Advantage Oil And Gas 5.0 Pct Conv Debs
ABC.TO	Asia Biochem Group Corp
ABH.TO	Abitibibowater Inc
ABK.A.TO	Allbanc Split Corp Class A Capital Shs
ABK.PR.B.TO	Allbanc Split Corp.Cl B
ABO.A.TO	Arbor Memorial A
ABO.B.TO	Arbor Memorial Services Inc. Cl B. Nv
ABT.TO	Absolute Software Corp.
ABX.TO	Barrick Gold Corporation
AC.A.TO	Air Canada Cl.A
AC.B.TO	Air Canada Cl.B
AC.WT.TO	Air Canada Wts
ACC.TO	Amica Mature
ACD.TO	Accord Financial
ACE.TO	Ace Aviation Holdings Inc
ACE.A.TO	Ace Aviation Holdings Inc. Cl. A Rv
ACE.B.TO	Ace Aviation Holdings Inc.
ACM.A.TO	Astral Media Inc. Cl A. Nv
ACM.B.TO	Astral Media Inc. Cl B. Sv
ACO.X.TO	Atco Ltd. Cl.I Nv
ACO.Y.TO	Atco Ltd Cl Ii
ACQ.TO	Autocanada Inc
AD.TO	Alaris Royalty Corp.
ADA.TO	Acadian Mining Corporation
ADC.UN.TO	Canadian Advantaged Convertibles Fund
ADN.TO	Acadian Timber Corp
ADV.TO	Alderon Iron Ore Corp
ADW.A.TO	Andrew Peller Limited Cl.A
AEF.TO	Aurora Oil And Gas Ltd
AEI.TO	Arsenal Energy Inc.
AEM.TO	Agnico-Eagle Mines Ltd.
AEM.WT.U.TO	Agnico-Eagle Mines Limited Warrants
AEN.TO	Antrim Energy J
AEU.UN.TO	Activenergy Income Fund
AEZ.TO	Aeterna Zentaris Inc.
AF.TO	Alarmforce J
AFN.TO	Ag Growth International Inc.
AFN.DB.TO	Ag Growth Intl Inc. 7.0 Conv Debs
AFP.UN.TO	Agf Master Un
AFT.UN.TO	Diversified Alpha Fund Ii
AGB.UN.TO	Aston Hill Global Agribusiness Fund
AGF.B.TO	Agf Management Ltd. Cl.B Nv
AGI.TO	Alamos Gold Inc.
AGT.TO	Alliance Grain Traders Inc
AGU.TO	Agrium Inc
AHF.TO	Aston Hill Financial Inc
AHF.DB.TO	Aston Hill Financial Inc 6 Pct Debs
AHX.TO	Adherex Technologi Com Npv
AHX.WT.TO	Adherex Technologies Inc Wts
AHY.UN.TO	Advantaged Cdn High Yield Bond Fund
AIF.TO	Altus Group Limited
AIF.DB.TO	Altus Group Ltd 5.75 Pct Debs
AIF.DB.A.TO	Altus Group Ltd 6.75 Pct Debs
AIM.TO	Groupe Aeroplan Inc
AIM.PR.A.TO	Groupe Aeroplan Inc Pref Series 1
AKL.TO	Akela Pharma Inc
AKT.A.TO	Akita Drilling Ltd. Cl.A Nv
AKT.B.TO	Akita Cl B
ALA.TO	Altagas Ltd.
ALA.PR.A.TO	Altagas Ltd. Pref A
ALA.R.TO	Altagas Ltd Sub Receipts
ALB.TO	Allbanc Split Banc Corp Ii
ALB.PR.B.TO	Allbanc Split Corp Ii Pref Ser 1
ALC.TO	Algoma Central
ALC.DB.TO	Algoma Central Corp 6 Pct Dbs
ALD.TO	Allied Gold Mining Plc
ALS.TO	Altius Minerals Corporation
AM.TO	Automodular Corporation
AMC.TO	Alexis Minerals Corporation
AMF.TO	Amorfix Life Science Ltd.
AMM.TO	Almaden Minerals Ltd.
ANS.TO	Ainsworth Lumber Co.
ANV.TO	Allied Nevada Gold Corp.
ANX.TO	Anaconda Mining Inc.
AOG.UN.TO	Aston Hill Adv Oil And Gas Income Fund
AP.UN.TO	Allied Properties Real Estate Inv Trust
APY.TO	Anglo Pacific Group Plc
AQA.TO	Aquila Resources Inc.
AQL.TO	Aeroquest International Ltd.
AQN.TO	Algonquin Power And Utilities Corp.
AQN.DB.B.TO	Algonquin Power Util 7.00 Conv Debs B
AR.TO	Argonaut Gold Inc.
AR.WT.TO	Argonaut Gold Inc. Wts
ARE.TO	Aecon Group Inc
ARE.DB.TO	Aecon Group Inc 7.0 Debs
ARE.DB.A.TO	Aecon Group Inc 6.25 Pct Debs
ARF.TO	Armtec Infrastructure Inc.
ARF.DB.TO	Armtec Infrastructure Inc. 6.50 Debs
ARG.TO	Amerigo Resources Ltd.
ARL.TO	Africo Resources Ltd
ARX.TO	Arc Resources Ltd.
ARZ.TO	Aurizon Mines J
ASD.TO	Horizons Australian Dollar Currency ETF
ASR.TO	Alacer Gold Corp
ASR.DB.TO	Alacer Gold Corp Debentures
ATA.TO	Ats Automation
ATB.TO	Atrium Innovations Inc.
ATB.DB.TO	Atrium Innovations 5.75 Pct Debs
ATD.A.TO	Alimentation Couche-Tard Inc
ATD.B.TO	Alimentation Couche-Tard Inc. Cl B Sv
ATH.TO	Athabasca Oil Sands Corp
ATN.TO	Atna Res J
ATP.TO	Atlantic Power Corp.
ATP.DB.TO	Atlantic Power Corp. 6.50 Debs
ATP.DB.A.TO	Atlantic Power Corp. 6.25 Conv Debs
ATP.DB.B.TO	Atlantic Power Corp 5.60 Conv Dbs
AUE.TO	Aureus Mining Inc
AUI.UN.TO	Australian Banc Income Fd
AUM.TO	Golden Minerals Company
AUM.WT.TO	Golden Minerals Company Wts
AUQ.TO	Aurico Gold Inc
AUZ.UN.TO	Australian Banc Capital Sec Trust
AV.UN.TO	Aston Hill Adv Vip Income Fund
AVF.TO	Avenex Energy Corp.
AVK.TO	Avnel Gold Mining Ltd.
AVL.TO	Avalon Rare Metals Inc.
AVO.TO	Avigilon Corporation
AVP.TO	Avcorp Industries Inc
AVR.TO	Avion Gold Corporation
AW.UN.TO	A&W Revenue Royalties Income Fund
AX.DB.E.TO	Artis Reit 7.50% Ser E Debs
AX.DB.F.TO	Artis Reit 6.00 Conv Debs
AX.DB.U.TO	Artis Reit 5.75 Pct Debentuires
AX.UN.TO	Artis Real Estate Investment Trust Units
AXL.TO	Anderson Energy Ltd.
AXL.DB.TO	Anderson Energy Ltd. 7.50 Pct Debs
AXL.DB.B.TO	Anderson Energy Ltd 7.25 Pct Debs
AXR.TO	Alexco Resource Corp.
AXX.TO	Axia Netmedia J
AXY.TO	Alterra Power Corp
AZ.TO	Armistice Resources Corp.
AZ.WT.TO	Armistice Resources Corp Wts
AZC.TO	Augusta Resource Corporation
AZP.PR.A.TO	Atlantic Power Pref Equity Ser 1
AZP.PR.B.TO	Atlantic Power Pref Equity Ser 2
AZR.TO	Azumah Resources Limited
BA.TO	Bell Aliant Inc
BAA.TO	Banro Corp.
BAB.UN.TO	Build America Investment Grade Bond Fund
BAD.TO	Badger Daylighting Ltd.
BAF.PR.A.TO	Bell Aliant Preferred Equity Inc
BAF.PR.C.TO	Bell Aliant Preferred Equity Inc.
BAJ.TO	Baja Mining Corp.
BAM.A.TO	Brookfield Asset Management Inc. Cl.A Lv
BAM.PF.A.TO	Brookfield Asset Mgmt Inc Pref Ser 32
BAM.PR.B.TO	Brookfield Asset Mgmt Inc.Pr. Ser 2
BAM.PR.C.TO	Brookfield Asset Mgmt Inc. Pr. Ser 4
BAM.PR.E.TO	Brookfield Asset Mgmt Inc. Pr. Ser 8
BAM.PR.G.TO	Brookfield Asset Mgmt Inc. Pr Ser 9
BAM.PR.I.TO	Brookfield Asset Mgmt Inc. Pr Ser 11
BAM.PR.J.TO	Brookfield Asset Mgmt Inc. Pr. Ser 12
BAM.PR.K.TO	Brookfield Asset Mgmt Inc. Pr. Ser 13
BAM.PR.M.TO	Brookfield Asset Mgmt Incprf A Ser 17
BAM.PR.N.TO	Brookfield Asset Mgmt Pref Shs Ser 18
BAM.PR.O.TO	Brookfield Asset Mgmt Inc. Pr. Ser 21
BAM.PR.P.TO	Brookfield Asset Mgmt Inc. Pr. Ser 22
BAM.PR.R.TO	Brookfield Asset Mgmt Pref Ser 24
BAM.PR.T.TO	Brookfield Asset Mgmt Pref Ser 26
BAM.PR.X.TO	Brookfield Am Pref Ser 28
BAM.PR.Z.TO	Brookfield Asset Mgmt Inc Pr Ser 30
BAN.TO	Bannerman Resources Limited
BAU.TO	Bauer Performance Sports Ltd
BBD.A.TO	Bombardier Inc. Cl. A Mv
BBD.B.TO	Bombardier Inc. Cl. B Sv
BBD.PR.B.TO	Bombardier 2 Pr
BBD.PR.C.TO	Bombardier Inc. Preferred Class C
BBD.PR.D.TO	Bombardier Inc. Preferred[Series 3 ]
BBL.A.TO	Brampton Brick Ltd. Cl.A Sv
BBO.TO	Big Bank Big Oil Split Corp.
BBO.PR.A.TO	Big Bank Big Oil Split Corp. Prf. Cl. A
BCB.TO	Cott Corp
BCE.TO	Bce Inc.
BCE.PR.A.TO	Bce First Pr Shares Series Aa
BCE.PR.B.TO	Bce Inc. First Pr Shares Series Ab
BCE.PR.C.TO	Bce Inc Pr Shares Series Ac
BCE.PR.D.TO	Bce Inc. Preferred Shares Series Ad
BCE.PR.E.TO	Bce 1St Pref Shares Series Ae
BCE.PR.F.TO	Bce 1St Pref Shares Series Af
BCE.PR.G.TO	Bce 1St Pref Shares Series Ag
BCE.PR.H.TO	Bce 1St Pref Shares Series Ah
BCE.PR.I.TO	Bce 1St Pref Shares Series Ai
BCE.PR.J.TO	Bce Inc Preferred Sh Series Aj
BCE.PR.K.TO	Bce Inc Pref Series Ak
BCE.PR.R.TO	Bce Inc Ser R
BCE.PR.S.TO	Bce Inc Ser S
BCE.PR.T.TO	Bce Inc. First Preferred Series T
BCE.PR.Y.TO	Bce Inc Ser Y Pr
BCE.PR.Z.TO	Bce Inc Series Z
BCI.TO	Benvest New Look Income Fd
BDI.TO	Black Diamond Group Ltd
BDT.TO	Bird Construction Inc.
BEI.UN.TO	Boardwalk Real Estate Investment Trust
BEK.B.TO	Becker Milk Co Ltd Cl B Nv Spec
BEP.UN.TO	Brookfield Renewable Energy Partners Lp
BEV.TO	Bennett Env J
BI.UN.TO	Bloom Inc And Growth CAD Fund
BIG.A.TO	Big 8 Split Inc.
BIG.PR.B.TO	Big 8 Split Inc Cls B Srs 1
BIG.PR.C.TO	Big 8 Split Inc. Cl C Ser 1 Pref
BIN.TO	Progressive Waste Solutions Ltd
BIP.UN.TO	Brookfield Infra Partners Lp Units
BIR.TO	Birchcliff Energy Ltd.
BK.TO	Canadian Banc Recovery Corp. Cl. A
BK.PR.A.TO	Canadian Banc Recovery Corp. Pref. A
BKI.TO	Black Iron Inc
BKP.TO	C.A. Bancorp Inc.
BKX.TO	Bnk Petroleum Inc.
BLB.UN.TO	Bloom Select Income Fund
BLD.TO	Ballard Power
BLS.TO	Boliden Ab
BLU.TO	Bellus Health Inc.
BLX.TO	Boralex Inc.
BLX.DB.TO	Boralex Inc 6.75 Pct Debs
BMO.TO	Bank Of Montreal
BMO.PR.H.TO	Bk Of Mtl Cl B 5P
BMO.PR.J.TO	Bmo Non-Cum Cl B Prf Share Series 13
BMO.PR.K.TO	Bmo Non-Cumulative Cl B Pr Share Sr 14
BMO.PR.L.TO	Bmo Non-Cumulative Cl B Pr Share Srs 15
BMO.PR.M.TO	Bmo Cl B Pref Shares Ser 16
BMO.PR.N.TO	Bmo Cl. B Pref Shares Ser 18
BMO.PR.O.TO	Bmo Cl B Pref Shares Series 21
BMO.PR.P.TO	Bmo Non-Cumulative Cl. B Pref. Sr 23
BMO.PR.Q.TO	Bank Of Montreal B Pref Sh Ser 25
BNA.PR.B.TO	Bam Split Corp. Cl A Ser 1
BNA.PR.C.TO	Bam Split Corp Cl Aa Prf Shrs Ser 3
BNA.PR.D.TO	Bam Split Corp Cl Aa Pref Shares Ser 4
